(0.0, 0.0)
(-0.19003723370844172, -0.19003723370844172)
(-0.19003723370844172, -0.30405957393350674)
(-0.15202978696675337, -0.4180819141585718)
(-0.5321042543836368, -0.5321042543836368)
(-0.7601489348337669, -0.6461265946087019)
(-0.9501861685422086, -0.874171275058832)
(-1.0262010620255853, -1.0262010620255853)
(-0.7981563815754553, -1.1782308489923388)
(-0.6841340413503902, -1.1402234022506503)
(-0.19003723370844172, -1.1782308489923388)
(0.45608936090026014, -0.9121787218005203)
(-0.19003723370844172, -3.306647866526886)
(-0.38007446741688344, -1.9383797838261057)
(0.6081191478670135, -1.976387230567794)
(0.07601489348337669, -1.9383797838261057)
(0.7221414880920786, -3.838752120910523)
(0.3420670206751951, -2.2044319110179242)
(0.2660521271918184, -9.691898919130528)
(-3.382662760010263, -3.4586776534936394)
(-1.748342550117664, -2.2044319110179242)
(0.3420670206751951, -13.454636146557675)
(0.45608936090026014, -10.756107427897803)
(-2.090409570792859, -2.508491484951431)
(0.5321042543836368, -13.378621253074298)
(-1.9383797838261057, -2.736536165401561)
(-0.11402234022506504, -17.90150741533521)
(0.6081191478670135, -15.202978696675338)
(0.19003723370844172, -17.179365927243133)
(0.45608936090026014, -18.927708477360795)
(-0.03800744674168834, -22.72845315152963)
(-0.6841340413503902, -22.690445704787944)
(-1.1782308489923388, -25.04690740277262)
(-0.6461265946087019, -24.058713787488724)
(-0.30405957393350674, -24.210743574455478)
(-1.1782308489923388, -27.4033691007573)
(-1.0262010620255853, -28.01148824862431)
(-2.1284170175345474, -30.862046754250937)
(-1.748342550117664, -31.318136115151198)
(-2.7745436121432494, -31.47016590211795)
(-3.6867223339437696, -35.91703717089549)
(-3.1926255263018213, -33.940649940327695)
(-4.522886162260913, -36.86722333943769)
(-4.712923395969355, -35.993052064378865)
(-6.043184031928447, -38.34951376236354)
(-4.560893609002601, -37.24729780685458)
(-5.625102117769876, -39.4517297178725)
(-5.587094671028187, -37.89342440146328)
(-6.841340413503902, -40.59195312012315)
(-6.081191478670135, -40.363908439673025)
(-8.665697857104943, -42.91040737136614)
(-9.121787218005203, -43.100444605074586)
(-11.858323383406765, -46.103032897667966)
(-25.46498931693119, -16.001135078250794)
(-24.59081804187236, -15.659068057575599)
(-3.9147670143938997, -4.104804248102341)
